member,phrase,augmentation,mfccs_mean,mfccs_std,mfccs_min,mfccs_max,rolloff_mean,rolloff_std,rolloff_min,rolloff_max,energy_mean,energy_std,energy_min,energy_max
afsa,approve,original,-19.541791915893555,123.79708862304688,-669.10986328125,166.1243896484375,7509.350001169536,1772.8400977742851,1238.1591796875,9733.0078125,0.019912863,0.030694118,6.5262348e-06,0.11907209
afsa,approve,pitch_shift,-23.513092041015625,132.4337615966797,-723.7015991210938,160.6215057373047,7337.858024186003,2428.655859819691,1571.923828125,10432.8369140625,0.011355756,0.015702033,4.611697e-05,0.061404224
afsa,approve,time_stretch,-21.768747329711914,130.6842803955078,-694.8341064453125,156.44854736328125,7671.242342063849,1599.5339088137187,1410.4248046875,9603.80859375,0.013946706,0.020957792,2.112519e-05,0.08006263
afsa,approve,background_noise,-15.604554506112384,78.86725760944779,-358.1291702843762,107.060899134596,9045.299196528817,570.6319259703363,5770.8984375,9679.1748046875,0.021676224,0.029873235,0.0035461981,0.11913289
afsa,confirm,original,-16.974510192871094,117.97838592529297,-668.4395141601562,161.46275329589844,6418.161190257353,1784.4048494692138,1937.98828125,9937.5732421875,0.025766252,0.029719552,7.024024e-06,0.12141758
afsa,confirm,pitch_shift,-20.57805061340332,123.50450897216797,-678.25537109375,149.5104522705078,6384.383616727941,2408.44604562676,1442.724609375,9991.40625,0.019596739,0.022522641,5.613301e-05,0.082766235
afsa,confirm,time_stretch,-19.59269142150879,124.30592346191406,-710.3114624023438,143.05111694335938,6854.2877197265625,1464.4755033348683,2960.8154296875,9797.607421875,0.016172297,0.018001897,3.0387646e-05,0.071491234
afsa,confirm,background_noise,-13.512702839426462,75.54943875624556,-357.82911937503326,109.01470628732665,8570.566693474264,1008.9883669652448,5264.8681640625,9937.5732421875,0.027230833,0.028776182,0.0034760542,0.12133276
amandine,approve,original,-18.69230079650879,120.90061950683594,-694.0115966796875,172.9378662109375,5981.923828125,1951.9524130462087,732.12890625,9506.9091796875,0.019596085,0.023770843,0.00050703296,0.08838764
amandine,approve,pitch_shift,-21.219436645507812,127.79524993896484,-697.821533203125,168.22735595703125,6425.35400390625,2160.1431368176295,775.1953125,9808.3740234375,0.012812749,0.014949031,0.0006194418,0.054494932
amandine,approve,time_stretch,-20.56464385986328,126.6699447631836,-727.285400390625,164.28082275390625,6058.255320581897,1967.819783911315,936.6943359375,9302.34375,0.012786346,0.014104258,0.0006551213,0.05714951
amandine,approve,background_noise,-15.157979765232705,79.07914927333465,-351.7226239796901,105.66317002444136,8678.8037109375,858.5497884490401,5620.166015625,9474.609375,0.021326754,0.02278218,0.003580102,0.08847579
amandine,confirm,original,-19.537076950073242,119.28023529052734,-655.1063232421875,150.56588745117188,5468.096564797794,2260.945553488324,452.197265625,9916.0400390625,0.018897664,0.021427505,0.0008794801,0.07689928
